date,unit_nav
2025-05-30,1.4937
2025-06-03,1.5062
2025-06-04,1.5356
2025-06-05,1.5776
2025-06-06,1.5819
2025-06-09,1.5889
2025-06-10,1.5741
2025-06-11,1.5967
2025-06-12,1.5809
2025-06-13,1.5705
2025-06-16,1.5818
2025-06-17,1.5855
2025-06-18,1.5885
2025-06-19,1.5888
2025-06-20,1.5976
2025-06-23,1.591
2025-06-24,1.6377
2025-06-25,1.6776
2025-06-26,1.6746
2025-06-27,1.6681
2025-06-30,1.6761
2025-07-01,1.6643
2025-07-02,1.6372
2025-07-03,1.6635
2025-07-04,1.6408
2025-07-07,1.6287
2025-07-08,1.6455
2025-07-09,1.626
2025-07-10,1.6408
2025-07-11,1.6615
2025-07-14,1.6579
2025-07-15,1.6616
2025-07-16,1.6648
2025-07-17,1.6516
2025-07-18,1.653
2025-07-21,1.6537
2025-07-22,1.6383
2025-07-23,1.6473
2025-07-24,1.6555
2025-07-25,1.6734
2025-07-28,1.6863
2025-07-29,1.6954
2025-07-30,1.6998
2025-07-31,1.6948
2025-08-01,1.6412
2025-08-04,1.6597
2025-08-05,1.6745
2025-08-06,1.6712
2025-08-07,1.6893
2025-08-08,1.6824
2025-08-11,1.6898
2025-08-12,1.7155
2025-08-13,1.746
2025-08-14,1.7673
2025-08-15,1.7723
2025-08-18,1.7601
2025-08-19,1.7372
2025-08-20,1.7569
2025-08-21,1.748
2025-08-22,1.8623
2025-08-25,1.9232
2025-08-26,1.9073
2025-08-27,1.9043
2025-08-28,2.0021
2025-08-29,1.9662
2025-09-01,1.9518
2025-09-02,1.9361
2025-09-03,1.9174
2025-09-04,1.8453
2025-09-05,1.8829
2025-09-08,1.9034
2025-09-09,1.896
2025-09-10,1.9448
2025-09-11,2.0254
2025-09-12,2.0691
2025-09-15,2.0871
2025-09-16,2.1408
2025-09-17,2.1355
2025-09-18,2.1935
2025-09-19,2.1725
2025-09-22,2.2422
2025-09-23,2.2595
2025-09-24,2.3126
2025-09-25,2.3093
2025-09-26,2.2498
2025-09-29,2.2849
2025-09-30,2.3071
2025-10-09,2.4039
2025-10-10,2.3786
