date,unit_nav,daily_return_pct
2025-01-06,0.9446,-0.8
2025-01-07,0.9682,2.5
2025-01-08,0.9798,1.2
2025-01-09,0.9916,1.2
2025-01-10,0.9826,-0.91
2025-01-13,0.9792,-0.35
2025-01-14,1.0395,6.16
2025-01-15,1.0285,-1.06
2025-01-16,1.0326,0.4
2025-01-17,1.0349,0.22
2025-01-20,1.0352,0.03
2025-01-21,1.0514,1.56
2025-01-22,1.0455,-0.56
2025-01-23,1.0393,-0.59
2025-01-24,1.0576,1.76
2025-01-27,1.0222,-3.35
2025-02-05,1.0381,1.56
2025-02-06,1.0858,4.59
2025-02-07,1.0933,0.69
2025-02-10,1.0889,-0.4
2025-02-11,1.0936,0.43
2025-02-12,1.1031,0.87
2025-02-13,1.0751,-2.54
2025-02-14,1.0755,0.04
2025-02-17,1.0987,2.16
2025-02-18,1.0882,-0.96
2025-02-19,1.1425,4.99
2025-02-20,1.1566,1.23
2025-02-21,1.1889,2.79
2025-02-24,1.1799,-0.76
2025-02-25,1.1841,0.36
2025-02-26,1.2178,2.85
2025-02-27,1.2051,-1.04
2025-02-28,1.1423,-5.21
2025-03-03,1.13,-1.08
2025-03-04,1.1567,2.36
2025-03-05,1.1678,0.96
2025-03-06,1.1872,1.66
2025-03-07,1.1976,0.88
2025-03-10,1.2113,1.14
2025-03-11,1.216,0.39
2025-03-12,1.2083,-0.63
2025-03-13,1.1608,-3.93
2025-03-14,1.1849,2.08
2025-03-17,1.1826,-0.19
2025-03-18,1.2023,1.67
2025-03-19,1.2012,-0.09
2025-03-20,1.2099,0.72
2025-03-21,1.1785,-2.6
2025-03-24,1.1601,-1.56
2025-03-25,1.1497,-0.9
2025-03-26,1.166,1.42
2025-03-27,1.1573,-0.75
2025-03-28,1.1518,-0.48
2025-03-31,1.1342,-1.53
2025-04-01,1.1305,-0.33
2025-04-02,1.14,0.84
2025-04-03,1.1103,-2.61
2025-04-07,0.9797,-11.76
2025-04-08,0.9606,-1.95
2025-04-09,0.9846,2.5
2025-04-10,1.0127,2.85
2025-04-11,1.0295,1.66
2025-04-14,1.0424,1.25
2025-04-15,1.0385,-0.37
2025-04-16,1.0188,-1.9
2025-04-17,1.019,0.02
2025-04-18,1.0211,0.21
2025-04-21,1.0472,2.56
2025-04-22,1.0395,-0.74
2025-04-23,1.0655,2.5
2025-04-24,1.0564,-0.85
2025-04-25,1.0615,0.48
2025-04-28,1.0466,-1.4
2025-04-29,1.0557,0.87
2025-04-30,1.0771,2.03
2025-05-06,1.108,2.87
2025-05-07,1.1165,0.77
2025-05-08,1.1298,1.19
2025-05-09,1.1212,-0.76
2025-05-12,1.1521,2.76
2025-05-13,1.1458,-0.55
2025-05-14,1.146,0.02
